datetime_beijing,date,hour_beijing,timestamp_original,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,visibility,is_day,weather_description
2026-03-03 00:00,2026-03-03,0,2026-03-03T00:00,9.3,76,5.3,6.4,0.0,0.0,0.0,3,1023.2,1022.6,100,12.3,345,26.6,24140.0,0,多云
2026-03-03 01:00,2026-03-03,1,2026-03-03T01:00,9.0,75,4.8,5.9,0.0,0.0,0.0,3,1023.2,1022.6,100,12.4,343,25.2,24140.0,0,多云
2026-03-03 02:00,2026-03-03,2,2026-03-03T02:00,8.9,75,4.7,6.0,0.0,0.0,0.0,3,1023.5,1022.9,100,11.2,345,24.8,24140.0,0,多云
2026-03-03 03:00,2026-03-03,3,2026-03-03T03:00,8.5,75,4.3,5.4,0.0,0.0,0.0,3,1023.5,1022.9,100,12.0,344,24.5,24140.0,0,多云
2026-03-03 04:00,2026-03-03,4,2026-03-03T04:00,8.2,75,4.0,5.0,0.0,0.0,0.0,3,1023.6,1023.0,100,12.1,348,26.3,24140.0,0,多云
2026-03-03 05:00,2026-03-03,5,2026-03-03T05:00,7.9,77,4.1,4.9,0.0,0.0,0.0,3,1023.9,1023.3,100,10.5,352,24.1,24140.0,0,多云
2026-03-03 06:00,2026-03-03,6,2026-03-03T06:00,7.7,76,3.7,4.7,0.0,0.0,0.0,3,1024.4,1023.8,99,10.1,356,22.0,24140.0,0,多云
2026-03-03 07:00,2026-03-03,7,2026-03-03T07:00,7.4,74,3.1,4.3,0.0,0.0,0.0,3,1024.9,1024.3,96,10.1,356,20.5,24140.0,1,多云
2026-03-03 08:00,2026-03-03,8,2026-03-03T08:00,7.9,72,3.2,5.2,0.0,0.0,0.0,3,1025.4,1024.8,96,8.0,355,20.5,24140.0,1,多云
2026-03-03 09:00,2026-03-03,9,2026-03-03T09:00,8.4,72,3.6,5.7,0.0,0.0,0.0,3,1026.0,1025.4,93,8.0,355,16.9,24140.0,1,多云
2026-03-03 10:00,2026-03-03,10,2026-03-03T10:00,9.0,70,3.8,6.1,0.0,0.0,0.0,3,1026.0,1025.4,92,9.4,360,19.1,24140.0,1,多云
2026-03-03 11:00,2026-03-03,11,2026-03-03T11:00,9.8,66,3.7,6.7,0.0,0.0,0.0,3,1025.8,1025.2,88,10.5,6,22.0,24140.0,1,多云
2026-03-03 12:00,2026-03-03,12,2026-03-03T12:00,10.7,65,4.3,7.9,0.0,0.0,0.0,3,1025.1,1024.5,96,9.7,2,22.0,24140.0,1,多云
2026-03-03 13:00,2026-03-03,13,2026-03-03T13:00,11.0,64,4.5,8.3,0.0,0.0,0.0,3,1023.8,1023.2,95,9.7,2,20.9,24140.0,1,多云
2026-03-03 14:00,2026-03-03,14,2026-03-03T14:00,11.5,63,4.7,8.7,0.0,0.0,0.0,3,1023.4,1022.8,92,9.8,6,20.9,24140.0,1,多云
2026-03-03 15:00,2026-03-03,15,2026-03-03T15:00,11.6,62,4.6,8.8,0.0,0.0,0.0,3,1023.1,1022.5,97,10.5,4,21.6,24140.0,1,多云
2026-03-03 16:00,2026-03-03,16,2026-03-03T16:00,11.4,63,4.6,8.5,0.0,0.0,0.0,3,1024.1,1023.5,97,10.8,4,23.0,24140.0,1,多云
2026-03-03 17:00,2026-03-03,17,2026-03-03T17:00,10.9,64,4.4,8.0,0.0,0.0,0.0,3,1024.3,1023.7,98,10.9,8,22.3,24140.0,1,多云
2026-03-03 18:00,2026-03-03,18,2026-03-03T18:00,10.5,66,4.4,7.7,0.0,0.0,0.0,3,1024.8,1024.2,99,10.3,12,22.3,24140.0,0,多云
2026-03-03 19:00,2026-03-03,19,2026-03-03T19:00,10.3,69,4.8,7.8,0.0,0.0,0.0,3,1025.4,1024.8,100,7.9,3,20.5,24140.0,0,多云
2026-03-03 20:00,2026-03-03,20,2026-03-03T20:00,10.1,71,5.1,8.0,0.0,0.0,0.0,3,1026.6,1026.0,100,6.5,357,16.2,24140.0,0,多云
2026-03-03 21:00,2026-03-03,21,2026-03-03T21:00,9.9,73,5.3,7.9,0.0,0.0,0.0,3,1026.8,1026.2,100,5.7,18,12.6,24140.0,0,多云
2026-03-03 22:00,2026-03-03,22,2026-03-03T22:00,9.7,72,4.9,7.4,0.0,0.0,0.0,3,1026.7,1026.1,100,7.1,41,14.0,24140.0,0,多云
2026-03-03 23:00,2026-03-03,23,2026-03-03T23:00,9.3,72,4.5,6.5,0.0,0.0,0.0,3,1026.2,1025.6,100,9.7,45,19.1,24140.0,0,多云
2026-03-04 00:00,2026-03-04,0,2026-03-04T00:00,8.7,74,4.3,6.1,0.0,0.0,0.0,3,1026.4,1025.8,100,8.4,47,19.4,24140.0,0,多云
2026-03-04 01:00,2026-03-04,1,2026-03-04T01:00,8.3,72,3.5,5.4,0.0,0.0,0.0,3,1026.3,1025.7,100,9.5,53,18.4,24140.0,0,多云
2026-03-04 02:00,2026-03-04,2,2026-03-04T02:00,7.9,74,3.6,5.1,0.0,0.0,0.0,3,1025.7,1025.1,100,9.1,56,18.7,24140.0,0,多云
2026-03-04 03:00,2026-03-04,3,2026-03-04T03:00,7.6,77,3.8,5.0,0.0,0.0,0.0,3,1025.2,1024.6,100,8.0,63,18.4,24140.0,0,多云
2026-03-04 04:00,2026-03-04,4,2026-03-04T04:00,7.5,79,4.1,5.1,0.0,0.0,0.0,3,1025.1,1024.5,98,6.6,61,15.8,24140.0,0,多云
2026-03-04 05:00,2026-03-04,5,2026-03-04T05:00,7.3,80,4.0,5.0,0.0,0.0,0.0,3,1025.0,1024.4,100,5.9,43,13.0,24140.0,0,多云
2026-03-04 06:00,2026-03-04,6,2026-03-04T06:00,7.1,81,4.1,5.0,0.0,0.0,0.0,3,1025.0,1024.4,97,4.8,27,11.5,24140.0,0,多云
2026-03-04 07:00,2026-03-04,7,2026-03-04T07:00,7.1,80,3.9,5.0,0.0,0.0,0.0,3,1025.2,1024.6,100,4.7,32,9.7,24140.0,1,多云
2026-03-04 08:00,2026-03-04,8,2026-03-04T08:00,7.4,80,4.1,5.3,0.0,0.0,0.0,3,1025.6,1025.0,100,4.7,58,10.4,24140.0,1,多云
2026-03-04 09:00,2026-03-04,9,2026-03-04T09:00,7.9,79,4.5,6.1,0.0,0.0,0.0,3,1026.0,1025.4,99,3.3,41,10.1,24140.0,1,多云
2026-03-04 10:00,2026-03-04,10,2026-03-04T10:00,8.7,77,4.8,6.8,0.0,0.0,0.0,3,1026.2,1025.6,96,4.4,35,9.7,24140.0,1,多云
2026-03-04 11:00,2026-03-04,11,2026-03-04T11:00,9.6,75,5.4,7.6,0.0,0.0,0.0,3,1025.8,1025.2,97,6.1,50,13.3,24140.0,1,多云
2026-03-04 12:00,2026-03-04,12,2026-03-04T12:00,10.3,72,5.4,8.0,0.0,0.0,0.0,3,1024.9,1024.3,96,7.6,65,16.2,24140.0,1,多云
2026-03-04 13:00,2026-03-04,13,2026-03-04T13:00,10.8,70,5.5,8.3,0.0,0.0,0.0,3,1023.5,1022.9,96,9.5,79,19.4,24140.0,1,多云
2026-03-04 14:00,2026-03-04,14,2026-03-04T14:00,11.4,68,5.7,8.7,0.0,0.0,0.0,3,1022.4,1021.8,95,11.2,92,23.0,24140.0,1,多云
2026-03-04 15:00,2026-03-04,15,2026-03-04T15:00,11.5,68,5.8,8.8,0.0,0.0,0.0,3,1022.0,1021.4,93,11.2,94,23.0,24140.0,1,多云
2026-03-04 16:00,2026-03-04,16,2026-03-04T16:00,11.4,68,5.7,8.7,0.0,0.0,0.0,3,1021.7,1021.1,100,10.9,82,23.0,24140.0,1,多云
2026-03-04 17:00,2026-03-04,17,2026-03-04T17:00,11.1,70,5.8,8.4,0.0,0.0,0.0,3,1021.8,1021.2,88,11.4,72,22.7,24140.0,1,多云
2026-03-04 18:00,2026-03-04,18,2026-03-04T18:00,10.5,73,5.8,7.9,0.0,0.0,0.0,3,1021.9,1021.3,99,10.6,80,22.7,24140.0,0,多云
2026-03-04 19:00,2026-03-04,19,2026-03-04T19:00,10.1,76,6.1,8.0,0.0,0.0,0.0,3,1022.4,1021.8,96,7.4,76,20.5,24140.0,0,多云
2026-03-04 20:00,2026-03-04,20,2026-03-04T20:00,9.9,78,6.2,8.0,0.0,0.0,0.0,3,1022.3,1021.7,100,6.5,84,14.4,24140.0,0,多云
2026-03-04 21:00,2026-03-04,21,2026-03-04T21:00,9.7,82,6.8,8.1,0.0,0.0,0.0,3,1022.3,1021.7,100,5.1,86,12.6,24140.0,0,多云
2026-03-04 22:00,2026-03-04,22,2026-03-04T22:00,9.6,84,7.0,8.2,0.0,0.0,0.0,3,1022.3,1021.7,99,4.1,75,10.1,24140.0,0,多云
2026-03-04 23:00,2026-03-04,23,2026-03-04T23:00,9.5,86,7.3,8.2,0.0,0.0,0.0,3,1022.1,1021.5,99,4.2,70,7.9,24140.0,0,多云
2026-03-05 00:00,2026-03-05,0,2026-03-05T00:00,9.4,88,7.5,8.3,0.0,0.0,0.0,3,1022.0,1021.4,99,3.4,72,7.9,24140.0,0,多云
