datetime_beijing,date,hour_beijing,timestamp_original,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,visibility,is_day,weather_description
2026-05-04 00:00,2026-05-04,0,2026-05-04T00:00,16.3,74,11.7,15.8,0.0,0.0,0.0,3,1016.4,1015.8,100,6.9,329,17.6,15140.0,0,多云
2026-05-04 01:00,2026-05-04,1,2026-05-04T01:00,15.7,80,12.2,15.8,0.0,0.0,0.0,3,1016.7,1016.1,100,3.7,317,11.5,14000.0,0,多云
2026-05-04 02:00,2026-05-04,2,2026-05-04T02:00,15.8,79,12.1,16.1,0.0,0.0,0.0,3,1016.9,1016.3,100,2.1,250,5.0,15140.0,0,多云
2026-05-04 03:00,2026-05-04,3,2026-05-04T03:00,15.6,80,12.1,15.9,0.0,0.0,0.0,3,1016.9,1016.3,100,2.7,217,4.0,14000.0,0,多云
2026-05-04 04:00,2026-05-04,4,2026-05-04T04:00,15.1,83,12.1,15.3,0.0,0.0,0.0,3,1017.2,1016.6,100,3.1,193,5.0,14000.0,0,多云
2026-05-04 05:00,2026-05-04,5,2026-05-04T05:00,14.9,83,12.0,14.8,0.0,0.0,0.0,3,1017.7,1017.1,100,4.9,190,7.9,14020.0,0,多云
2026-05-04 06:00,2026-05-04,6,2026-05-04T06:00,14.9,83,12.1,14.7,0.0,0.0,0.0,3,1018.1,1017.5,100,5.8,178,9.4,12280.0,1,多云
2026-05-04 07:00,2026-05-04,7,2026-05-04T07:00,16.1,79,12.4,15.8,0.0,0.0,0.0,3,1018.6,1018.0,100,7.1,196,11.9,14020.0,1,多云
2026-05-04 08:00,2026-05-04,8,2026-05-04T08:00,17.8,74,13.1,17.9,0.0,0.0,0.0,3,1019.1,1018.5,100,5.7,208,13.3,14020.0,1,多云
2026-05-04 09:00,2026-05-04,9,2026-05-04T09:00,19.9,62,12.4,19.6,0.0,0.0,0.0,3,1019.2,1018.6,100,7.0,206,15.8,16100.0,1,多云
2026-05-04 10:00,2026-05-04,10,2026-05-04T10:00,21.1,51,10.7,20.0,0.0,0.0,0.0,3,1019.5,1018.9,100,9.3,216,20.5,16900.0,1,多云
2026-05-04 11:00,2026-05-04,11,2026-05-04T11:00,22.0,46,9.8,20.7,0.0,0.0,0.0,3,1019.3,1018.7,100,8.6,221,20.5,16900.0,1,多云
2026-05-04 12:00,2026-05-04,12,2026-05-04T12:00,22.6,42,9.2,21.3,0.0,0.0,0.0,3,1018.6,1018.0,100,8.0,218,19.4,18620.0,1,多云
2026-05-04 13:00,2026-05-04,13,2026-05-04T13:00,23.4,41,9.4,22.4,0.0,0.0,0.0,3,1018.0,1017.4,100,8.1,205,19.1,18620.0,1,多云
2026-05-04 14:00,2026-05-04,14,2026-05-04T14:00,23.6,41,9.4,22.4,0.0,0.0,0.0,3,1017.5,1016.9,100,8.7,197,19.4,18620.0,1,多云
2026-05-04 15:00,2026-05-04,15,2026-05-04T15:00,23.5,40,9.2,21.9,0.0,0.0,0.0,3,1016.7,1016.1,100,9.5,189,20.2,18620.0,1,多云
2026-05-04 16:00,2026-05-04,16,2026-05-04T16:00,23.1,42,9.4,21.5,0.0,0.0,0.0,3,1016.4,1015.8,100,9.6,184,20.5,18620.0,1,多云
2026-05-04 17:00,2026-05-04,17,2026-05-04T17:00,22.3,50,11.4,21.6,0.0,0.0,0.0,3,1016.4,1015.8,100,7.6,181,19.1,16900.0,1,多云
2026-05-04 18:00,2026-05-04,18,2026-05-04T18:00,20.5,61,12.6,20.5,0.0,0.0,0.0,3,1016.3,1015.7,100,6.3,178,13.7,16100.0,1,多云
2026-05-04 19:00,2026-05-04,19,2026-05-04T19:00,18.8,67,12.4,18.6,0.0,0.0,0.0,0,1016.5,1015.9,7,6.6,167,10.4,16100.0,0,晴
2026-05-04 20:00,2026-05-04,20,2026-05-04T20:00,17.6,71,12.2,17.1,0.0,0.0,0.0,1,1017.0,1016.4,24,8.3,164,13.3,15160.0,0,基本晴
2026-05-04 21:00,2026-05-04,21,2026-05-04T21:00,16.9,73,11.9,16.1,0.0,0.0,0.0,2,1017.8,1017.2,66,8.9,162,14.4,15160.0,0,局部多云
