datetime_beijing,date,hour_beijing,timestamp_original,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,visibility,is_day,weather_description
2026-01-19 00:00,2026-01-19,0,2026-01-19T00:00,10.9,92,9.6,10.1,0.0,0.0,0.0,3,1020.7,1020.1,91,4.7,4,9.7,24140.0,0,多云
2026-01-19 01:00,2026-01-19,1,2026-01-19T01:00,10.9,92,9.6,10.1,0.0,0.0,0.0,3,1021.2,1020.6,100,4.7,360,8.3,24140.0,0,多云
2026-01-19 02:00,2026-01-19,2,2026-01-19T02:00,10.9,91,9.5,10.0,0.0,0.0,0.0,3,1021.5,1020.9,100,5.1,8,9.7,24140.0,0,多云
2026-01-19 03:00,2026-01-19,3,2026-01-19T03:00,10.9,90,9.3,9.7,0.0,0.0,0.0,3,1021.4,1020.8,100,6.4,16,11.9,24140.0,0,多云
2026-01-19 04:00,2026-01-19,4,2026-01-19T04:00,10.7,89,9.0,9.1,0.0,0.0,0.0,3,1021.1,1020.5,100,9.2,21,16.9,24140.0,0,多云
2026-01-19 05:00,2026-01-19,5,2026-01-19T05:00,10.5,86,8.2,8.6,0.0,0.0,0.0,3,1021.5,1020.9,100,9.7,15,18.4,24140.0,0,多云
2026-01-19 06:00,2026-01-19,6,2026-01-19T06:00,10.3,83,7.5,8.4,0.0,0.0,0.0,3,1022.2,1021.6,100,9.0,5,18.0,24140.0,0,多云
2026-01-19 07:00,2026-01-19,7,2026-01-19T07:00,10.1,82,7.2,7.7,0.0,0.0,0.0,3,1023.2,1022.6,100,11.5,4,21.2,24140.0,1,多云
2026-01-19 08:00,2026-01-19,8,2026-01-19T08:00,9.8,81,6.7,6.9,0.0,0.0,0.0,3,1024.4,1023.8,100,14.1,3,25.9,24140.0,1,多云
2026-01-19 09:00,2026-01-19,9,2026-01-19T09:00,9.6,79,6.1,6.5,0.0,0.0,0.0,3,1025.1,1024.5,100,14.5,6,27.4,24140.0,1,多云
2026-01-19 10:00,2026-01-19,10,2026-01-19T10:00,9.4,76,5.3,6.1,0.0,0.0,0.0,3,1025.7,1025.1,100,14.5,19,27.4,24140.0,1,多云
2026-01-19 11:00,2026-01-19,11,2026-01-19T11:00,9.3,74,4.9,6.2,0.0,0.0,0.0,3,1025.4,1024.8,100,13.1,21,26.6,24140.0,1,多云
2026-01-19 12:00,2026-01-19,12,2026-01-19T12:00,9.4,73,4.8,6.2,0.0,0.0,0.0,3,1024.7,1024.1,100,13.6,17,25.6,24140.0,1,多云
2026-01-19 13:00,2026-01-19,13,2026-01-19T13:00,9.4,72,4.6,5.8,0.0,0.0,0.0,3,1024.2,1023.6,100,15.4,16,28.8,24140.0,1,多云
2026-01-19 14:00,2026-01-19,14,2026-01-19T14:00,8.9,71,3.9,4.9,0.0,0.0,0.0,3,1024.5,1023.9,100,17.4,13,32.8,24140.0,1,多云
2026-01-19 15:00,2026-01-19,15,2026-01-19T15:00,8.2,70,3.0,3.8,0.0,0.0,0.0,3,1025.1,1024.5,100,19.0,19,35.3,24140.0,1,多云
2026-01-19 16:00,2026-01-19,16,2026-01-19T16:00,7.3,72,2.6,2.8,0.1,0.1,0.0,61,1025.8,1025.2,100,19.2,17,36.0,24140.0,1,小雨
2026-01-19 17:00,2026-01-19,17,2026-01-19T17:00,6.5,74,2.2,1.9,0.1,0.1,0.0,61,1026.6,1026.0,100,19.2,17,36.4,24140.0,1,小雨
2026-01-19 18:00,2026-01-19,18,2026-01-19T18:00,5.5,81,2.5,0.9,0.4,0.4,0.0,61,1027.6,1027.0,100,19.6,17,36.7,24140.0,0,小雨
2026-01-19 19:00,2026-01-19,19,2026-01-19T19:00,4.9,82,2.1,0.6,0.2,0.2,0.0,61,1028.3,1027.7,100,17.5,19,36.4,24140.0,0,小雨
2026-01-19 20:00,2026-01-19,20,2026-01-19T20:00,4.8,78,1.2,0.4,0.0,0.0,0.0,3,1028.6,1028.0,100,16.9,20,32.4,24140.0,0,多云
2026-01-19 21:00,2026-01-19,21,2026-01-19T21:00,4.5,77,0.8,0.2,0.0,0.0,0.0,3,1028.7,1028.1,100,15.5,13,31.0,23280.0,0,多云
2026-01-19 22:00,2026-01-19,22,2026-01-19T22:00,4.0,80,0.8,-0.2,0.2,0.2,0.0,61,1028.8,1028.2,100,15.1,3,28.8,22520.0,0,小雨
2026-01-19 23:00,2026-01-19,23,2026-01-19T23:00,3.6,82,0.8,-0.8,0.1,0.1,0.0,61,1029.0,1028.4,100,16.2,1,29.9,18760.0,0,小雨
2026-01-20 00:00,2026-01-20,0,2026-01-20T00:00,3.2,82,0.4,-1.2,0.1,0.1,0.0,61,1029.4,1028.8,100,15.9,5,29.9,8920.0,0,小雨
2026-01-20 01:00,2026-01-20,1,2026-01-20T01:00,3.0,78,-0.5,-1.6,0.1,0.1,0.0,61,1030.0,1029.4,100,16.7,6,31.3,9800.0,0,小雨
2026-01-20 02:00,2026-01-20,2,2026-01-20T02:00,2.7,77,-1.0,-2.1,0.1,0.1,0.0,61,1029.9,1029.3,100,16.9,2,31.7,12840.0,0,小雨
