datetime_beijing,date,hour_beijing,timestamp_original,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,visibility,is_day,weather_description
2026-01-18 00:00,2026-01-18,0,2026-01-18T00:00,9.4,86,7.1,7.3,0.0,0.0,0.0,3,1018.9,1018.3,96,9.1,83,16.9,24140.0,0,多云
2026-01-18 01:00,2026-01-18,1,2026-01-18T01:00,9.4,86,7.1,7.6,0.0,0.0,0.0,3,1018.7,1018.1,96,6.8,90,16.2,24140.0,0,多云
2026-01-18 02:00,2026-01-18,2,2026-01-18T02:00,9.4,87,7.4,7.8,0.0,0.0,0.0,3,1018.9,1018.3,96,6.6,77,12.2,24140.0,0,多云
2026-01-18 03:00,2026-01-18,3,2026-01-18T03:00,9.3,88,7.4,7.8,0.0,0.0,0.0,3,1018.3,1017.7,95,5.5,79,12.2,24140.0,0,多云
2026-01-18 04:00,2026-01-18,4,2026-01-18T04:00,9.2,90,7.7,8.0,0.0,0.0,0.0,3,1018.1,1017.5,90,4.1,75,9.7,24140.0,0,多云
2026-01-18 05:00,2026-01-18,5,2026-01-18T05:00,8.9,92,7.7,7.8,0.0,0.0,0.0,2,1017.7,1017.1,81,3.3,77,7.2,24140.0,0,局部多云
2026-01-18 06:00,2026-01-18,6,2026-01-18T06:00,8.7,94,7.8,7.7,0.0,0.0,0.0,2,1018.2,1017.6,76,2.9,90,5.8,24140.0,0,局部多云
2026-01-18 07:00,2026-01-18,7,2026-01-18T07:00,8.6,94,7.7,7.7,0.0,0.0,0.0,3,1018.2,1017.6,83,1.9,68,5.0,24140.0,1,多云
2026-01-18 08:00,2026-01-18,8,2026-01-18T08:00,8.9,94,8.0,8.0,0.0,0.0,0.0,2,1018.7,1018.1,76,2.4,27,4.3,24140.0,1,局部多云
2026-01-18 09:00,2026-01-18,9,2026-01-18T09:00,9.7,90,8.1,8.6,0.0,0.0,0.0,3,1019.0,1018.4,94,4.0,63,7.9,24140.0,1,多云
2026-01-18 10:00,2026-01-18,10,2026-01-18T10:00,10.7,85,8.2,9.2,0.0,0.0,0.0,3,1019.4,1018.8,93,6.5,96,12.2,24140.0,1,多云
2026-01-18 11:00,2026-01-18,11,2026-01-18T11:00,11.7,79,8.2,10.4,0.0,0.0,0.0,3,1019.0,1018.4,89,6.0,107,13.3,24140.0,1,多云
2026-01-18 12:00,2026-01-18,12,2026-01-18T12:00,12.9,73,8.1,11.7,0.0,0.0,0.0,3,1018.2,1017.6,88,4.7,90,12.6,24140.0,1,多云
2026-01-18 13:00,2026-01-18,13,2026-01-18T13:00,14.1,67,8.1,12.9,0.0,0.0,0.0,2,1017.1,1016.5,61,5.0,69,12.2,24140.0,1,局部多云
