datetime_beijing,date,hour_beijing,timestamp_original,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,visibility,is_day,weather_description
2026-05-01 00:00,2026-05-01,0,2026-05-01T00:00,11.5,75,7.3,9.9,0.0,0.0,0.0,0,1018.1,1017.5,0,6.4,196,10.1,15060.0,0,晴
2026-05-01 01:00,2026-05-01,1,2026-05-01T01:00,10.7,79,7.2,9.2,0.0,0.0,0.0,0,1017.7,1017.1,1,5.5,207,9.7,13920.0,0,晴
2026-05-01 02:00,2026-05-01,2,2026-05-01T02:00,10.2,81,7.2,8.6,0.0,0.0,0.0,1,1017.4,1016.8,34,6.0,190,9.7,13920.0,0,基本晴
2026-05-01 03:00,2026-05-01,3,2026-05-01T03:00,10.6,81,7.4,8.7,0.0,0.0,0.0,0,1017.3,1016.7,14,8.5,193,13.3,13920.0,0,晴
2026-05-01 04:00,2026-05-01,4,2026-05-01T04:00,10.6,80,7.2,8.3,0.0,0.0,0.0,0,1017.1,1016.5,0,10.8,198,18.0,13920.0,0,晴
2026-05-01 05:00,2026-05-01,5,2026-05-01T05:00,10.6,81,7.4,8.4,0.0,0.0,0.0,0,1017.4,1016.8,5,10.6,201,18.7,13920.0,0,晴
2026-05-01 06:00,2026-05-01,6,2026-05-01T06:00,10.9,81,7.8,8.8,0.0,0.0,0.0,0,1018.0,1017.4,0,10.6,208,18.4,13920.0,1,晴
2026-05-01 07:00,2026-05-01,7,2026-05-01T07:00,12.8,79,9.2,11.3,0.0,0.0,0.0,0,1017.9,1017.3,1,8.7,217,18.4,13920.0,1,晴
2026-05-01 08:00,2026-05-01,8,2026-05-01T08:00,15.4,73,10.4,14.6,0.0,0.0,0.0,0,1018.0,1017.4,0,5.9,223,15.8,13920.0,1,晴
2026-05-01 09:00,2026-05-01,9,2026-05-01T09:00,17.9,63,10.8,17.2,0.0,0.0,0.0,0,1018.1,1017.5,15,6.7,236,18.0,15080.0,1,晴
2026-05-01 10:00,2026-05-01,10,2026-05-01T10:00,19.9,57,11.1,20.5,0.0,0.0,0.0,0,1018.1,1017.5,0,5.8,240,18.7,16020.0,1,晴
