datetime_beijing,date,hour_beijing,timestamp_original,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,visibility,is_day,weather_description
2026-03-31 00:00,2026-03-31,0,2026-03-31T00:00,15.9,77,11.8,14.7,0.0,0.0,0.0,3,1014.0,1013.4,90,11.6,355,32.8,24140.0,0,多云
2026-03-31 01:00,2026-03-31,1,2026-03-31T01:00,15.6,80,12.2,14.9,0.0,0.0,0.0,3,1014.1,1013.5,88,9.8,343,22.7,24140.0,0,多云
2026-03-31 02:00,2026-03-31,2,2026-03-31T02:00,15.3,83,12.4,14.8,0.0,0.0,0.0,3,1014.3,1013.7,95,8.9,346,19.1,24140.0,0,多云
2026-03-31 03:00,2026-03-31,3,2026-03-31T03:00,15.0,82,12.0,14.3,0.0,0.0,0.0,3,1013.9,1013.3,97,9.0,355,18.0,24140.0,0,多云
2026-03-31 04:00,2026-03-31,4,2026-03-31T04:00,14.5,82,11.4,13.4,0.0,0.0,0.0,3,1013.7,1013.1,91,10.5,356,20.5,24140.0,0,多云
2026-03-31 05:00,2026-03-31,5,2026-03-31T05:00,14.1,82,11.0,13.0,0.0,0.0,0.0,3,1014.2,1013.6,97,9.7,358,20.5,24140.0,0,多云
2026-03-31 06:00,2026-03-31,6,2026-03-31T06:00,13.8,83,10.9,12.9,0.0,0.0,0.0,3,1014.9,1014.3,91,8.0,355,19.1,24140.0,1,多云
2026-03-31 07:00,2026-03-31,7,2026-03-31T07:00,13.8,84,11.1,13.1,0.0,0.0,0.0,3,1015.6,1015.0,92,6.8,357,15.5,24140.0,1,多云
2026-03-31 08:00,2026-03-31,8,2026-03-31T08:00,14.1,84,11.4,13.6,0.0,0.0,0.0,3,1016.0,1015.4,99,6.6,9,13.7,24140.0,1,多云
2026-03-31 09:00,2026-03-31,9,2026-03-31T09:00,14.5,82,11.4,13.8,0.0,0.0,0.0,3,1016.1,1015.5,100,7.8,22,15.8,24140.0,1,多云
2026-03-31 10:00,2026-03-31,10,2026-03-31T10:00,14.9,80,11.5,14.4,0.0,0.0,0.0,3,1016.0,1015.4,100,6.8,32,15.8,24140.0,1,多云
2026-03-31 11:00,2026-03-31,11,2026-03-31T11:00,15.4,77,11.3,14.8,0.0,0.0,0.0,3,1015.5,1014.9,100,6.4,47,13.3,24140.0,1,多云
2026-03-31 12:00,2026-03-31,12,2026-03-31T12:00,15.8,74,11.2,15.1,0.0,0.0,0.0,3,1014.7,1014.1,100,7.3,33,15.1,24140.0,1,多云
2026-03-31 13:00,2026-03-31,13,2026-03-31T13:00,16.1,72,11.1,15.0,0.0,0.0,0.0,3,1013.4,1012.8,100,9.5,29,19.4,24140.0,1,多云
2026-03-31 14:00,2026-03-31,14,2026-03-31T14:00,15.6,77,11.5,14.8,1.0,1.0,0.0,61,1012.3,1011.7,100,8.4,50,18.7,24140.0,1,小雨
2026-03-31 15:00,2026-03-31,15,2026-03-31T15:00,14.7,88,12.7,14.9,5.3,5.3,0.0,63,1013.3,1012.7,100,4.5,14,16.2,4640.0,1,中雨
2026-03-31 16:00,2026-03-31,16,2026-03-31T16:00,14.5,91,13.0,14.8,4.6,4.6,0.0,63,1013.7,1013.1,100,4.1,345,12.6,2500.0,1,中雨
