PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
1014.0,43.0,16.6,5.2,47.0,5.46,53.0,3.5,288.6,304.3,289.6
1013.4,46.0,16.7,6.6,51.0,6.04,120.0,2.3,288.7,306.1,289.8
1000.0,154.0,15.8,5.5,50.0,5.65,79.0,7.2,289.0,305.3,290.0
992.3,224.0,15.2,5.2,51.0,5.6,75.0,8.4,289.0,305.1,289.9
966.4,444.0,13.2,4.3,55.0,5.4,78.0,13.9,289.2,304.8,290.1
954.3,548.0,13.0,5.5,60.0,5.95,80.0,15.2,290.0,307.2,291.1
951.3,576.0,12.8,5.8,62.0,6.08,80.0,15.1,290.0,307.6,291.1
944.8,637.0,12.3,7.0,70.0,6.65,81.0,14.2,290.1,309.2,291.3
927.5,794.0,12.5,11.0,91.0,8.91,88.0,11.7,291.8,317.3,293.4
925.0,815.0,12.3,10.7,90.0,8.76,90.0,11.4,291.8,317.0,293.4
912.3,934.0,11.4,9.7,89.0,8.29,90.0,9.1,292.1,316.0,293.6
910.7,946.0,11.5,9.5,87.0,8.19,88.0,8.8,292.4,316.0,293.8
900.6,1041.0,11.2,10.5,95.0,8.85,73.0,7.2,292.9,318.4,294.5
874.1,1283.0,9.0,8.8,98.0,8.13,54.0,4.4,293.2,316.7,294.6
873.5,1289.0,8.9,8.6,99.0,8.07,54.0,4.3,293.1,316.4,294.5
872.2,1300.0,8.6,7.6,93.0,7.5,52.0,4.2,293.0,314.7,294.3
868.8,1332.0,9.1,7.8,92.0,7.68,47.0,4.0,293.8,316.1,295.2
850.0,1518.0,8.0,7.3,95.0,7.56,40.0,2.1,294.5,316.6,295.9
839.0,1634.0,7.3,7.3,100.0,7.65,95.0,0.3,294.8,317.1,296.2
838.4,1639.0,7.2,7.2,100.0,7.59,126.0,0.2,294.8,317.0,296.2
815.4,1871.0,6.0,5.5,97.0,6.97,254.0,2.4,295.9,316.4,297.2
813.8,1888.0,6.4,4.7,89.0,6.58,257.0,2.7,296.5,315.9,297.7
812.6,1901.0,7.1,2.2,71.0,5.53,259.0,2.8,297.4,313.9,298.4
812.0,1906.0,7.3,2.0,69.0,5.45,260.0,2.9,297.6,313.9,298.6
805.0,1982.0,8.2,-6.2,35.0,2.99,267.0,4.1,299.3,308.6,299.9
804.5,1987.0,8.4,-6.1,35.0,3.02,268.0,4.2,299.6,308.9,300.1
803.4,1998.0,8.4,-5.1,38.0,3.25,270.0,4.3,299.7,309.8,300.3
796.5,2068.0,8.1,-4.8,40.0,3.37,279.0,4.8,300.2,310.6,300.8
794.9,2085.0,8.1,-2.5,47.0,4.02,280.0,4.9,300.3,312.6,301.0
791.8,2119.0,8.1,-6.2,36.0,3.03,281.0,5.0,300.6,310.0,301.2
780.5,2232.0,7.5,-6.7,36.0,2.96,277.0,5.1,301.3,310.5,301.8
772.3,2326.0,6.8,-7.6,35.0,2.79,258.0,5.4,301.4,310.2,301.9
748.8,2566.0,5.2,-9.0,35.0,2.58,244.0,7.3,302.3,310.5,302.8
740.9,2652.0,4.5,-8.8,38.0,2.66,245.0,7.8,302.4,310.9,302.9
721.5,2875.0,2.7,-7.5,47.0,3.01,242.0,9.4,302.8,312.2,303.3
714.2,2958.0,1.9,-4.0,65.0,4.0,243.0,10.2,302.9,315.2,303.6
709.2,3014.0,1.4,-3.7,69.0,4.09,245.0,10.7,302.8,315.5,303.6
702.5,3088.0,0.6,-3.0,77.0,4.36,246.0,11.6,302.8,316.3,303.6
700.0,3117.0,0.4,-3.5,75.0,4.22,246.0,12.0,302.9,315.9,303.7
696.0,3163.0,0.0,-4.5,72.0,3.94,245.0,12.5,302.9,315.2,303.7
695.8,3165.0,-0.0,-4.6,71.0,3.92,245.0,12.6,303.0,315.1,303.7
694.2,3183.0,-0.2,-3.8,77.0,4.16,244.0,12.7,303.0,315.8,303.7
691.6,3213.0,-0.4,-5.2,70.0,3.75,244.0,12.9,303.1,314.7,303.8
