PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
133.1,14651.0,-63.0,-93.3,1.0,0.0,257.0,57.3,374.0,374.0,374.0
129.4,14821.0,-64.3,-94.3,1.0,0.0,257.0,56.6,374.5,374.5,374.5
125.7,15001.0,-64.8,-94.6,1.0,0.0,256.0,52.5,376.7,376.7,376.7
124.8,15042.0,-64.5,-94.3,1.0,0.0,255.0,51.6,378.2,378.2,378.2
124.7,15049.0,-64.4,-94.3,1.0,0.0,255.0,51.4,378.4,378.4,378.4
122.2,15172.0,-64.5,-94.4,1.0,0.0,252.0,51.1,380.4,380.4,380.4
112.3,15681.0,-68.4,-97.2,1.0,0.0,257.0,47.3,382.3,382.4,382.3
106.1,16019.0,-69.8,-98.1,1.0,0.0,260.0,45.1,386.1,386.1,386.1
104.5,16113.0,-70.6,-98.7,1.0,0.0,258.0,43.1,386.3,386.3,386.3
102.7,16213.0,-69.3,-97.8,1.0,0.0,255.0,42.4,390.5,390.5,390.5
100.2,16362.0,-70.4,-98.6,1.0,0.0,254.0,43.2,391.3,391.3,391.3
