PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
1026.5,43.0,2.9,1.0,87.0,3.99,51.0,0.8,274.0,284.9,274.7
1015.7,132.0,2.3,0.1,85.0,3.78,352.0,1.4,274.2,284.6,274.8
1004.2,222.0,2.6,-2.1,71.0,3.25,356.0,1.8,275.4,284.4,275.9
1000.0,255.0,2.3,-2.7,69.0,3.13,251.0,1.8,275.5,284.2,276.0
998.5,266.0,2.2,-2.8,69.0,3.11,2.0,1.7,275.5,284.2,276.0
969.8,503.0,0.0,-4.0,74.0,2.93,10.0,1.6,275.6,283.8,276.0
962.3,564.0,-0.6,-4.2,76.0,2.9,18.0,1.9,275.6,283.7,276.1
929.1,847.0,-3.3,-5.2,87.0,2.79,13.0,1.7,275.6,283.4,276.1
925.0,882.0,-3.6,-5.3,88.0,2.77,22.0,1.7,275.6,283.4,276.1
920.5,920.0,-4.0,-5.5,89.0,2.75,34.0,2.0,275.6,283.3,276.1
891.6,1172.0,-6.2,-6.9,95.0,2.56,8.0,1.8,275.8,283.1,276.3
889.8,1188.0,-5.3,-11.3,62.0,1.8,8.0,1.6,277.0,282.2,277.3
884.5,1238.0,-2.8,-11.1,53.0,1.86,15.0,1.1,280.0,285.5,280.3
882.5,1256.0,-2.6,-9.9,57.0,2.04,22.0,1.1,280.4,286.4,280.8
881.3,1266.0,-2.5,-9.8,57.0,2.06,27.0,1.1,280.6,286.6,280.9
874.1,1329.0,-2.8,-9.8,59.0,2.08,61.0,0.9,280.9,287.0,281.3
850.0,1550.0,-4.0,-14.4,44.0,1.47,42.0,3.0,282.0,286.4,282.2
849.9,1551.0,-4.0,-14.5,44.0,1.46,42.0,3.0,282.0,286.3,282.2
845.2,1595.0,-4.1,-10.9,59.0,1.97,36.0,2.5,282.3,288.1,282.6
844.6,1600.0,-4.1,-10.7,60.0,2.0,35.0,2.4,282.3,288.2,282.7
830.2,1736.0,-4.8,-9.0,73.0,2.33,323.0,1.2,283.0,289.8,283.4
823.0,1804.0,-4.9,-8.2,78.0,2.5,310.0,0.9,283.6,290.9,284.0
818.7,1845.0,-4.7,-9.8,67.0,2.22,302.0,0.5,284.3,290.8,284.6
809.3,1937.0,-4.6,-9.5,68.0,2.29,276.0,1.2,285.3,292.1,285.7
808.7,1943.0,-4.5,-9.4,69.0,2.32,276.0,1.3,285.4,292.3,285.8
804.3,1987.0,-3.8,-8.4,71.0,2.52,272.0,2.6,286.6,294.0,287.0
803.3,1997.0,-3.4,-8.5,68.0,2.51,271.0,3.0,287.2,294.7,287.6
800.7,2023.0,-1.6,-12.4,44.0,1.85,269.0,3.7,289.4,295.0,289.7
799.0,2039.0,-0.9,-15.3,33.0,1.45,268.0,4.3,290.3,294.8,290.5
798.3,2045.0,-0.9,-15.9,31.0,1.38,268.0,4.5,290.3,294.6,290.6
787.9,2153.0,0.5,-19.9,20.0,1.0,256.0,8.2,293.0,296.2,293.1
781.9,2212.0,0.9,-21.5,17.0,0.88,254.0,9.3,294.0,296.9,294.2
775.0,2285.0,0.4,-24.8,13.0,0.66,258.0,8.2,294.2,296.4,294.3
761.0,2432.0,-0.4,-33.8,6.0,0.29,276.0,7.8,294.9,295.9,294.9
742.2,2630.0,0.3,-38.4,4.0,0.19,270.0,9.5,297.7,298.4,297.8
736.0,2698.0,0.3,-35.8,5.0,0.24,272.0,9.4,298.5,299.4,298.6
731.7,2745.0,-0.0,-26.1,12.0,0.62,275.0,9.4,298.6,300.7,298.7
710.0,2985.0,-2.3,-21.4,22.0,0.98,296.0,10.3,298.6,301.9,298.8
706.2,3027.0,-2.6,-20.6,24.0,1.05,296.0,10.6,298.8,302.2,299.0
700.0,3098.0,-3.0,-20.7,24.0,1.06,296.0,10.9,299.1,302.6,299.3
681.7,3308.0,-4.9,-21.2,27.0,1.03,277.0,10.0,299.3,302.7,299.5
678.8,3341.0,-5.2,-21.7,26.0,1.0,273.0,10.1,299.3,302.5,299.4
662.3,3532.0,-6.7,-26.8,19.0,0.65,270.0,12.5,299.7,301.9,299.8
652.3,3651.0,-7.1,-26.3,20.0,0.69,274.0,14.9,300.6,302.9,300.7
648.0,3701.0,-7.3,-22.9,28.0,0.93,277.0,16.0,300.9,304.0,301.1
639.9,3801.0,-7.7,-19.6,38.0,1.26,281.0,19.2,301.6,305.7,301.8
629.8,3925.0,-7.7,-20.6,35.0,1.18,284.0,22.8,302.9,306.8,303.1
626.0,3972.0,-7.7,-18.9,40.0,1.37,284.0,23.8,303.5,308.0,303.7
623.5,4004.0,-7.6,-20.7,34.0,1.18,285.0,24.4,303.9,307.8,304.1
618.1,4071.0,-8.0,-21.5,33.0,1.11,286.0,25.3,304.2,307.9,304.4
600.0,4300.0,-9.8,-24.9,28.0,0.84,286.0,25.5,304.7,307.5,304.8
589.9,4433.0,-10.8,-26.4,27.0,0.75,282.0,26.8,305.0,307.6,305.1
589.5,4439.0,-10.9,-26.6,26.0,0.74,281.0,26.9,304.9,307.5,305.1
577.0,4602.0,-10.8,-37.4,9.0,0.27,276.0,29.5,306.9,307.9,307.0
572.2,4667.0,-11.2,-36.6,10.0,0.29,276.0,29.6,307.2,308.3,307.3
562.8,4794.0,-12.6,-30.5,21.0,0.54,278.0,29.9,307.1,309.0,307.2
561.9,4806.0,-12.6,-30.3,21.0,0.55,278.0,29.9,307.2,309.1,307.3
542.8,5069.0,-14.5,-34.8,16.0,0.37,275.0,31.2,307.9,309.2,308.0
536.3,5161.0,-15.2,-32.9,21.0,0.45,276.0,31.3,308.2,309.7,308.2
508.9,5553.0,-18.5,-31.1,32.0,0.56,277.0,30.8,308.8,310.8,308.9
500.0,5685.0,-19.4,-30.9,35.0,0.58,276.0,32.5,309.4,311.4,309.5
499.2,5699.0,-19.5,-31.5,34.0,0.55,277.0,32.7,309.3,311.3,309.4
498.3,5711.0,-19.2,-31.8,32.0,0.54,277.0,32.8,309.8,311.7,309.9
483.0,5940.0,-21.2,-33.5,32.0,0.47,276.0,35.9,310.1,311.8,310.2
469.8,6148.0,-23.3,-33.9,37.0,0.46,275.0,34.3,310.1,311.7,310.2
459.0,6317.0,-24.1,-32.9,44.0,0.52,272.0,37.5,311.1,312.9,311.2
458.2,6328.0,-24.1,-33.0,44.0,0.52,272.0,37.8,311.3,313.2,311.4
453.3,6408.0,-24.4,-34.5,39.0,0.45,271.0,38.5,311.9,313.5,312.0
431.9,6760.0,-27.0,-35.4,45.0,0.43,274.0,38.0,312.8,314.4,312.9
401.1,7290.0,-32.3,-41.4,40.0,0.25,272.0,37.5,312.7,313.6,312.7
400.0,7310.0,-32.2,-41.5,39.0,0.25,272.0,37.4,313.0,314.0,313.1
391.9,7453.0,-33.7,-42.8,40.0,0.23,271.0,37.8,313.0,313.8,313.0
389.0,7504.0,-33.9,-42.5,42.0,0.23,270.0,37.7,313.3,314.2,313.4
378.3,7702.0,-36.1,-42.2,53.0,0.25,269.0,38.3,313.0,313.9,313.0
370.8,7839.0,-36.9,-41.9,60.0,0.26,267.0,39.1,313.6,314.6,313.7
360.0,8044.0,-38.7,-45.1,51.0,0.19,269.0,40.0,314.0,314.7,314.0
346.4,8306.0,-40.8,-48.6,43.0,0.14,268.0,42.1,314.5,315.1,314.6
341.0,8412.0,-41.3,-49.8,40.0,0.12,268.0,43.6,315.2,315.7,315.3
340.9,8415.0,-41.3,-49.8,40.0,0.12,268.0,43.6,315.3,315.7,315.3
340.2,8432.0,-41.8,-50.3,39.0,0.11,268.0,43.7,314.9,315.3,314.9
336.4,8506.0,-42.0,-51.0,37.0,0.11,267.0,44.0,315.5,315.9,315.5
322.1,8796.0,-45.0,-53.6,38.0,0.08,267.0,44.9,315.3,315.6,315.3
315.4,8940.0,-46.2,-54.4,39.0,0.08,265.0,45.7,315.6,315.9,315.7
310.7,9039.0,-45.2,-53.7,38.0,0.08,261.0,47.0,318.3,318.7,318.4
304.3,9176.0,-45.8,-54.9,35.0,0.07,259.0,51.2,319.4,319.7,319.4
300.0,9272.0,-45.9,-55.3,34.0,0.07,258.0,52.9,320.5,320.8,320.5
289.6,9505.0,-47.1,-57.7,29.0,0.05,260.0,57.2,322.0,322.3,322.0
286.4,9586.0,-46.7,-58.2,26.0,0.05,261.0,58.6,323.7,323.9,323.7
283.7,9645.0,-46.4,-59.0,23.0,0.05,262.0,59.5,325.0,325.3,325.1
270.8,9953.0,-47.3,-63.9,14.0,0.03,261.0,66.1,328.0,328.1,328.0
268.6,10007.0,-46.8,-64.0,13.0,0.03,261.0,65.9,329.6,329.7,329.6
262.8,10154.0,-45.9,-65.3,10.0,0.02,261.0,65.7,332.9,333.0,332.9
254.9,10356.0,-46.0,-68.7,6.0,0.01,262.0,67.4,335.7,335.8,335.7
252.1,10428.0,-46.3,-70.2,5.0,0.01,264.0,65.9,336.2,336.3,336.2
250.0,10485.0,-46.7,-70.7,5.0,0.01,265.0,64.4,336.5,336.6,336.5
