PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
487.0,6088.0,-4.9,-12.5,55.0,3.01,141.0,6.4,329.5,340.0,330.1
471.2,6354.0,-5.6,-17.5,39.0,2.06,138.0,5.2,331.7,339.1,332.1
467.6,6414.0,-5.4,-19.6,32.0,1.73,137.0,4.9,332.7,339.0,333.0
464.1,6479.0,-5.2,-20.9,28.0,1.56,132.0,4.9,333.7,339.4,334.0
455.9,6604.0,-6.4,-22.2,27.0,1.42,124.0,4.8,333.9,339.1,334.2
451.4,6685.0,-6.6,-26.8,18.0,0.95,118.0,4.8,334.6,338.1,334.8
448.5,6740.0,-6.7,-27.7,17.0,0.88,114.0,4.8,335.1,338.4,335.2
446.1,6788.0,-7.0,-28.3,17.0,0.83,108.0,4.8,335.2,338.4,335.4
436.5,6951.0,-8.7,-29.6,17.0,0.75,88.0,4.7,335.1,338.0,335.3
430.8,7060.0,-9.0,-26.8,22.0,0.99,75.0,4.7,336.0,339.8,336.2
430.3,7066.0,-9.1,-26.8,22.0,0.99,74.0,4.7,336.0,339.7,336.2
422.9,7190.0,-10.6,-25.6,28.0,1.13,77.0,3.8,335.7,340.0,336.0
420.8,7229.0,-10.8,-25.2,30.0,1.17,78.0,3.5,336.0,340.4,336.2
417.6,7293.0,-11.3,-25.3,30.0,1.17,79.0,3.5,336.1,340.4,336.3
415.1,7342.0,-11.1,-24.2,33.0,1.3,80.0,3.5,336.9,341.8,337.2
410.6,7424.0,-12.0,-23.5,38.0,1.4,82.0,3.6,336.8,342.0,337.1
407.4,7483.0,-12.1,-22.7,41.0,1.52,83.0,3.6,337.4,343.0,337.7
403.7,7543.0,-13.0,-23.0,43.0,1.49,84.0,3.6,337.1,342.7,337.4
402.7,7555.0,-12.9,-22.8,43.0,1.52,84.0,3.6,337.5,343.1,337.8
400.0,7611.0,-13.4,-22.8,45.0,1.53,82.0,3.7,337.5,343.2,337.8
387.8,7849.0,-15.0,-24.3,45.0,1.38,72.0,4.0,338.4,343.6,338.7
386.7,7865.0,-15.3,-24.7,44.0,1.34,71.0,4.0,338.3,343.3,338.5
373.1,8121.0,-17.7,-27.9,41.0,1.04,51.0,3.0,338.6,342.5,338.8
370.9,8173.0,-17.8,-29.6,35.0,0.89,47.0,2.8,339.0,342.4,339.2
368.7,8224.0,-17.7,-31.1,30.0,0.78,44.0,2.6,339.7,342.7,339.9
356.5,8481.0,-19.8,-34.5,26.0,0.58,29.0,1.6,340.2,342.5,340.3
356.3,8485.0,-19.9,-34.6,26.0,0.57,28.0,1.6,340.1,342.4,340.2
351.9,8583.0,-19.8,-31.4,35.0,0.79,3.0,1.3,341.4,344.5,341.6
347.4,8675.0,-20.8,-30.9,40.0,0.84,339.0,1.1,341.3,344.6,341.5
345.1,8731.0,-20.9,-30.1,43.0,0.91,324.0,0.9,341.9,345.4,342.0
342.8,8788.0,-21.0,-31.2,40.0,0.83,310.0,0.8,342.4,345.6,342.5
341.4,8824.0,-21.2,-31.1,41.0,0.84,301.0,1.0,342.5,345.8,342.7
336.0,8931.0,-22.2,-29.6,51.0,0.98,273.0,1.6,342.7,346.5,342.9
328.9,9096.0,-23.6,-31.9,46.0,0.81,230.0,2.6,342.9,346.0,343.0
328.5,9106.0,-23.7,-32.0,46.0,0.8,230.0,2.7,342.9,346.0,343.0
321.3,9265.0,-24.9,-31.2,56.0,0.88,226.0,4.5,343.4,346.8,343.6
319.5,9316.0,-24.8,-30.4,60.0,0.96,225.0,5.0,344.1,347.8,344.3
315.7,9393.0,-26.0,-30.5,66.0,0.96,223.0,5.9,343.6,347.3,343.8
315.1,9404.0,-26.0,-30.3,67.0,0.98,223.0,6.0,343.8,347.6,344.0
314.8,9419.0,-25.9,-30.1,68.0,1.0,223.0,6.2,344.0,347.9,344.2
310.0,9521.0,-27.0,-30.1,75.0,1.01,223.0,7.4,344.0,347.9,344.2
302.9,9675.0,-28.1,-30.8,78.0,0.97,223.0,9.3,344.7,348.5,344.9
301.0,9711.0,-28.0,-30.6,78.0,1.0,223.0,9.7,345.5,349.4,345.7
300.8,9721.0,-28.0,-30.7,78.0,0.99,223.0,9.8,345.5,349.4,345.7
300.0,9737.0,-28.3,-31.0,78.0,0.96,222.0,10.0,345.4,349.1,345.6
296.4,9822.0,-28.9,-31.6,77.0,0.92,221.0,10.8,345.7,349.3,345.9
295.7,9843.0,-28.6,-31.3,78.0,0.95,220.0,10.9,346.4,350.1,346.6
287.6,10031.0,-30.0,-33.0,75.0,0.83,216.0,12.7,347.1,350.4,347.3
284.9,10100.0,-30.8,-33.8,75.0,0.77,215.0,12.7,346.9,350.0,347.1
281.1,10196.0,-31.1,-34.5,72.0,0.73,214.0,12.7,347.8,350.8,348.0
279.3,10239.0,-31.8,-35.5,70.0,0.67,214.0,12.7,347.5,350.1,347.6
276.4,10313.0,-32.0,-36.3,66.0,0.62,213.0,12.7,348.2,350.7,348.3
275.3,10329.0,-32.6,-36.9,65.0,0.59,213.0,12.7,347.7,350.1,347.9
274.7,10351.0,-32.5,-37.0,64.0,0.58,213.0,12.7,348.1,350.5,348.2
269.8,10474.0,-33.4,-38.7,59.0,0.5,215.0,12.6,348.6,350.6,348.7
267.5,10527.0,-34.3,-39.7,58.0,0.46,215.0,12.5,348.1,350.0,348.2
261.2,10709.0,-35.2,-41.0,55.0,0.41,218.0,12.4,349.2,350.9,349.3
258.3,10773.0,-36.1,-42.1,54.0,0.37,220.0,12.4,349.0,350.5,349.1
254.9,10879.0,-36.0,-45.2,38.0,0.27,222.0,12.5,350.5,351.6,350.5
251.4,10981.0,-36.5,-47.5,31.0,0.21,225.0,12.5,351.1,352.0,351.1
250.0,11020.0,-37.0,-48.0,31.0,0.2,226.0,12.5,350.9,351.8,351.0
244.6,11170.0,-38.5,-49.7,30.0,0.17,229.0,12.6,350.9,351.6,350.9
240.9,11271.0,-39.5,-48.1,40.0,0.21,231.0,12.6,350.9,351.8,350.9
240.3,11297.0,-39.4,-47.4,43.0,0.22,231.0,12.6,351.3,352.3,351.3
238.4,11342.0,-39.8,-46.9,47.0,0.24,232.0,12.4,351.5,352.5,351.5
233.6,11474.0,-40.5,-47.5,47.0,0.23,235.0,11.8,352.5,353.5,352.5
229.5,11601.0,-41.8,-48.4,49.0,0.21,238.0,11.3,352.3,353.2,352.3
