PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
300.0,9467.0,-36.2,-39.5,72.0,0.41,255.0,29.7,334.2,335.8,334.2
295.1,9582.0,-37.2,-40.4,72.0,0.38,256.0,32.0,334.4,335.9,334.5
291.5,9666.0,-37.8,-41.1,71.0,0.36,257.0,33.1,334.7,336.2,334.8
261.1,10414.0,-43.9,-48.0,64.0,0.19,265.0,34.4,336.4,337.2,336.4
250.0,10702.0,-46.2,-50.5,62.0,0.15,266.0,38.6,337.2,337.8,337.2
244.4,10850.0,-47.4,-51.8,61.0,0.13,267.0,40.1,337.6,338.2,337.6
229.3,11270.0,-50.7,-55.2,59.0,0.1,266.0,46.7,338.8,339.2,338.8
229.0,11278.0,-50.7,-55.2,59.0,0.09,266.0,46.8,338.9,339.3,338.9
222.9,11453.0,-51.6,-56.1,59.0,0.09,268.0,48.2,340.2,340.6,340.3
213.4,11732.0,-53.6,-58.1,58.0,0.07,265.0,48.8,341.3,341.6,341.3
209.0,11865.0,-54.6,-59.1,57.0,0.06,262.0,49.9,341.8,342.1,341.8
205.0,11988.0,-55.0,-59.6,57.0,0.06,262.0,53.6,343.1,343.4,343.1
200.0,12146.0,-56.3,-60.9,56.0,0.05,261.0,56.8,343.4,343.7,343.4
198.9,12180.0,-56.6,-61.3,56.0,0.05,262.0,57.1,343.5,343.7,343.5
186.3,12592.0,-60.3,-65.0,54.0,0.03,263.0,61.7,344.1,344.2,344.1
184.3,12658.0,-60.7,-65.5,53.0,0.03,264.0,61.1,344.4,344.5,344.4
180.6,12784.0,-61.2,-66.0,53.0,0.03,265.0,60.3,345.7,345.8,345.7
170.4,13142.0,-63.7,-68.9,50.0,0.02,263.0,63.7,347.2,347.3,347.2
170.0,13154.0,-63.8,-69.0,50.0,0.02,263.0,63.5,347.3,347.4,347.3
162.7,13424.0,-65.3,-70.8,47.0,0.02,267.0,58.7,349.2,349.3,349.2
156.3,13667.0,-65.1,-70.9,45.0,0.02,269.0,59.9,353.6,353.6,353.6
154.3,13744.0,-65.1,-71.1,44.0,0.02,270.0,58.4,354.8,354.9,354.8
150.6,13893.0,-62.9,-69.1,43.0,0.02,270.0,56.7,361.1,361.2,361.1
150.0,13918.0,-63.0,-69.1,44.0,0.02,270.0,56.4,361.3,361.4,361.3
131.5,14716.0,-66.9,-73.8,38.0,0.01,274.0,52.2,368.2,368.3,368.2
130.0,14786.0,-66.7,-73.7,37.0,0.01,275.0,50.0,369.9,369.9,369.9
127.6,14899.0,-65.2,-72.4,37.0,0.02,276.0,46.8,374.5,374.6,374.5
121.9,15175.0,-65.8,-73.2,36.0,0.02,276.0,39.5,378.4,378.5,378.4
117.9,15379.0,-67.0,-74.4,35.0,0.01,271.0,35.2,379.7,379.8,379.7
109.0,15848.0,-70.5,-77.6,35.0,0.01,253.0,35.3,381.8,381.8,381.8
106.0,16009.0,-70.5,-77.7,35.0,0.01,254.0,39.8,384.7,384.8,384.7
100.3,16338.0,-71.5,-78.6,35.0,0.01,252.0,42.4,389.0,389.1,389.0
