PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
216.2,11997.0,-44.4,-69.4,5.0,0.02,333.0,12.8,354.3,354.4,354.3
215.3,12021.0,-45.0,-70.1,5.0,0.01,333.0,12.9,353.8,353.9,353.8
214.7,12044.0,-44.8,-70.0,4.0,0.01,333.0,12.9,354.4,354.5,354.4
205.4,12322.0,-47.6,-72.3,4.0,0.01,333.0,12.9,354.5,354.6,354.5
200.0,12509.0,-48.8,-74.2,4.0,0.01,333.0,13.2,355.3,355.4,355.3
194.8,12688.0,-50.2,-76.5,3.0,0.01,332.0,13.5,355.8,355.8,355.8
193.1,12733.0,-51.0,-77.3,3.0,0.01,332.0,13.6,355.4,355.4,355.4
192.7,12746.0,-50.9,-77.7,3.0,0.01,332.0,13.6,355.8,355.8,355.8
188.9,12878.0,-51.5,-78.5,3.0,0.0,332.0,13.5,356.8,356.9,356.8
185.5,12985.0,-52.8,-78.9,3.0,0.0,333.0,13.3,356.6,356.6,356.6
178.5,13263.0,-54.8,-79.4,4.0,0.0,332.0,12.9,357.2,357.3,357.2
174.4,13408.0,-55.2,-79.8,3.0,0.0,332.0,12.7,359.0,359.0,359.0
171.8,13504.0,-56.1,-80.9,3.0,0.0,331.0,12.5,359.0,359.0,359.0
169.4,13579.0,-56.9,-81.2,3.0,0.0,332.0,12.5,359.1,359.2,359.1
167.5,13661.0,-57.2,-81.3,3.0,0.0,334.0,12.6,359.8,359.8,359.8
164.4,13762.0,-58.4,-82.2,3.0,0.0,335.0,12.6,359.7,359.7,359.7
161.3,13883.0,-59.0,-81.4,4.0,0.0,337.0,12.7,360.7,360.7,360.7
159.7,13945.0,-59.3,-81.1,5.0,0.0,339.0,12.5,361.2,361.2,361.2
