PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
1003.8,43.0,29.5,25.0,77.0,20.23,45.0,1.0,302.3,362.5,306.0
1003.5,48.0,30.1,22.6,64.0,17.44,45.0,1.1,302.9,354.9,306.1
1000.0,77.0,29.4,22.9,68.0,17.84,46.0,1.2,302.6,355.6,305.8
997.3,100.0,29.0,22.4,68.0,17.34,46.0,1.3,302.4,353.9,305.5
975.2,277.0,27.1,22.7,77.0,18.08,51.0,1.8,302.4,356.1,305.7
944.0,572.0,24.4,22.1,87.0,18.0,62.0,1.9,302.5,356.0,305.7
939.5,619.0,24.0,21.5,86.0,17.42,67.0,1.9,302.5,354.3,305.6
937.5,636.0,24.6,21.3,82.0,17.24,69.0,1.9,303.3,354.7,306.4
929.3,725.0,24.7,20.4,77.0,16.44,78.0,1.9,304.2,353.4,307.1
925.0,767.0,24.4,19.9,76.0,16.0,82.0,1.8,304.3,352.2,307.2
922.3,793.0,24.3,19.6,75.0,15.75,85.0,1.8,304.4,351.6,307.3
908.4,914.0,23.2,19.2,78.0,15.59,98.0,1.8,304.6,351.3,307.4
877.8,1209.0,21.0,18.0,83.0,14.95,87.0,1.3,305.3,350.3,308.0
875.0,1243.0,21.0,17.6,81.0,14.62,86.0,1.3,305.6,349.6,308.3
858.0,1407.0,20.7,12.8,61.0,10.89,79.0,2.3,307.0,340.1,309.0
851.0,1494.0,20.6,12.4,59.0,10.69,75.0,2.9,307.6,340.2,309.6
850.0,1504.0,20.6,12.4,59.0,10.71,74.0,3.0,307.7,340.4,309.7
845.8,1550.0,20.3,13.1,63.0,11.27,72.0,3.3,307.8,342.2,309.9
832.4,1684.0,20.1,10.4,54.0,9.56,67.0,3.8,309.0,338.5,310.8
828.6,1724.0,19.9,9.4,51.0,8.97,66.0,4.0,309.2,336.9,310.9
824.1,1769.0,19.5,10.6,56.0,9.79,65.0,4.2,309.3,339.4,311.1
812.9,1886.0,19.0,7.3,47.0,7.92,61.0,4.6,310.0,334.6,311.4
810.8,1909.0,18.9,8.4,51.0,8.56,60.0,4.7,310.1,336.6,311.7
808.5,1937.0,18.6,9.0,54.0,8.95,60.0,4.7,310.0,337.7,311.7
805.4,1970.0,18.7,7.3,47.0,7.99,59.0,4.6,310.5,335.3,312.0
800.9,2015.0,18.1,9.4,57.0,9.29,58.0,4.6,310.3,339.1,312.1
779.7,2245.0,17.4,7.3,51.0,8.26,55.0,4.3,312.0,337.8,313.5
779.3,2251.0,17.4,7.4,52.0,8.32,55.0,4.3,312.0,338.0,313.6
771.7,2340.0,16.6,7.1,53.0,8.23,47.0,4.0,312.0,337.8,313.6
763.4,2430.0,16.2,7.5,56.0,8.56,39.0,3.7,312.6,339.3,314.2
759.0,2480.0,16.0,6.1,52.0,7.81,35.0,3.6,312.9,337.4,314.3
751.8,2553.0,15.1,6.9,58.0,8.33,28.0,3.4,312.7,338.9,314.3
749.3,2582.0,15.3,6.3,55.0,8.02,26.0,3.3,313.2,338.5,314.8
743.5,2648.0,15.2,4.5,49.0,7.12,24.0,3.2,313.8,336.4,315.2
731.5,2783.0,14.6,4.2,50.0,7.09,19.0,3.1,314.6,337.2,316.0
722.6,2889.0,14.3,0.9,40.0,5.66,16.0,3.0,315.4,333.6,316.5
720.3,2917.0,14.1,1.6,43.0,5.98,15.0,3.0,315.5,334.7,316.6
716.6,2962.0,13.9,-0.6,37.0,5.12,19.0,2.9,315.7,332.3,316.7
711.9,3013.0,13.3,1.2,44.0,5.87,24.0,2.8,315.7,334.5,316.8
706.7,3074.0,12.9,0.1,41.0,5.46,30.0,2.6,315.9,333.5,316.9
700.5,3153.0,12.1,2.7,53.0,6.65,38.0,2.4,315.8,337.1,317.1
700.0,3159.0,12.1,2.8,53.0,6.71,39.0,2.4,315.9,337.3,317.1
693.2,3242.0,11.5,1.8,51.0,6.3,46.0,2.2,316.1,336.3,317.3
691.8,3260.0,11.6,1.8,51.0,6.32,48.0,2.2,316.4,336.6,317.6
690.9,3271.0,11.7,1.9,51.0,6.37,49.0,2.2,316.6,337.1,317.8
685.1,3343.0,11.1,2.1,54.0,6.52,57.0,2.4,316.7,337.6,317.9
678.8,3420.0,10.8,0.2,48.0,5.73,66.0,2.6,317.2,335.7,318.3
668.8,3545.0,9.9,-0.8,47.0,5.4,80.0,2.8,317.5,335.1,318.6
664.5,3604.0,9.4,-0.3,51.0,5.64,87.0,3.0,317.5,335.8,318.6
663.4,3617.0,9.6,0.0,51.0,5.78,88.0,3.0,317.9,336.7,319.0
651.7,3759.0,9.1,0.0,53.0,5.88,78.0,2.2,319.0,338.1,320.1
641.8,3883.0,8.7,-1.5,49.0,5.35,69.0,1.4,319.9,337.5,321.0
634.7,3973.0,8.2,-2.7,46.0,4.95,62.0,0.9,320.4,336.7,321.3
630.0,4038.0,7.8,-3.2,46.0,4.8,57.0,1.1,320.6,336.5,321.5
622.4,4133.0,6.7,-3.3,49.0,4.82,49.0,1.4,320.5,336.4,321.4
616.0,4216.0,6.7,-5.1,43.0,4.25,42.0,1.7,321.4,335.6,322.2
606.1,4347.0,5.8,-6.7,40.0,3.82,31.0,2.1,321.9,334.7,322.6
602.1,4400.0,5.5,-5.3,46.0,4.29,27.0,2.0,322.1,336.4,323.0
600.0,4435.0,5.3,-5.4,46.0,4.27,24.0,2.0,322.2,336.5,323.0
593.7,4521.0,4.7,-6.2,45.0,4.06,18.0,1.9,322.5,336.1,323.3
582.1,4691.0,4.5,-6.2,46.0,4.14,5.0,1.8,324.1,338.0,324.9
579.0,4734.0,4.1,-5.9,48.0,4.26,6.0,1.8,324.1,338.4,324.9
573.7,4807.0,3.3,-7.9,44.0,3.68,8.0,1.9,324.0,336.5,324.7
