PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
180.4,12676.0,-54.7,-87.4,1.0,0.0,263.0,56.2,356.4,356.4,356.4
173.8,12914.0,-54.9,-87.6,1.0,0.0,263.0,56.7,359.9,359.9,359.9
169.3,13080.0,-55.7,-88.1,1.0,0.0,263.0,57.0,361.3,361.3,361.3
160.8,13404.0,-57.2,-89.2,1.0,0.0,264.0,53.8,364.0,364.0,364.0
150.0,13841.0,-59.5,-89.8,1.0,0.0,258.0,56.1,367.3,367.3,367.3
149.3,13869.0,-59.6,-90.9,1.0,0.0,258.0,56.1,367.6,367.6,367.6
143.4,14122.0,-61.5,-92.3,1.0,0.0,251.0,58.1,368.6,368.6,368.6
140.9,14228.0,-62.4,-92.9,1.0,0.0,250.0,59.1,368.9,368.9,368.9
134.1,14532.0,-63.4,-93.6,1.0,0.0,257.0,56.7,372.4,372.4,372.4
132.2,14622.0,-64.1,-94.1,1.0,0.0,261.0,56.8,372.7,372.7,372.7
128.3,14804.0,-65.3,-94.9,1.0,0.0,266.0,56.8,373.7,373.7,373.7
123.7,15022.0,-66.4,-95.7,1.0,0.0,267.0,54.1,375.6,375.6,375.6
122.3,15092.0,-66.4,-95.8,1.0,0.0,266.0,52.0,376.8,376.8,376.8
120.6,15178.0,-66.4,-95.7,1.0,0.0,265.0,50.0,378.4,378.4,378.4
109.9,15734.0,-69.0,-97.6,1.0,0.0,266.0,47.1,383.6,383.6,383.6
106.1,15944.0,-69.1,-97.7,1.0,0.0,261.0,44.8,387.3,387.3,387.3
102.0,16177.0,-70.4,-98.6,1.0,0.0,256.0,45.9,389.2,389.2,389.2
100.2,16283.0,-71.1,-99.1,1.0,0.0,257.0,47.3,389.8,389.8,389.8
