datetime_beijing,date,hour_beijing,timestamp_original,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,visibility,is_day,weather_description
2026-04-26 00:00,2026-04-26,0,2026-04-26T00:00,14.9,80,11.5,15.2,0.0,0.0,0.0,0,1015.7,1014.3,0,1.3,352,4.3,13360.0,0,晴
2026-04-26 01:00,2026-04-26,1,2026-04-26T01:00,14.3,84,11.6,14.7,0.0,0.0,0.0,0,1014.8,1013.4,0,0.8,333,4.0,13360.0,0,晴
2026-04-26 02:00,2026-04-26,2,2026-04-26T02:00,13.9,86,11.6,14.3,0.0,0.0,0.0,0,1014.2,1012.8,0,0.3,225,1.8,11660.0,0,晴
2026-04-26 03:00,2026-04-26,3,2026-04-26T03:00,13.5,89,11.8,13.6,0.0,0.0,0.0,0,1014.1,1012.7,0,3.2,289,6.8,10540.0,0,晴
2026-04-26 04:00,2026-04-26,4,2026-04-26T04:00,12.9,92,11.6,12.9,0.0,0.0,0.0,0,1014.1,1012.6,0,3.6,276,7.9,9080.0,0,晴
2026-04-26 05:00,2026-04-26,5,2026-04-26T05:00,12.4,94,11.4,12.3,0.0,0.0,0.0,0,1014.4,1012.9,0,3.4,264,7.2,9080.0,0,晴
2026-04-26 06:00,2026-04-26,6,2026-04-26T06:00,12.8,91,11.4,12.5,0.0,0.0,0.0,0,1014.8,1013.3,0,4.8,236,9.0,10540.0,1,晴
2026-04-26 07:00,2026-04-26,7,2026-04-26T07:00,15.1,82,12.1,15.0,0.0,0.0,0.0,0,1015.1,1013.7,0,5.2,221,11.9,11660.0,1,晴
2026-04-26 08:00,2026-04-26,8,2026-04-26T08:00,18.0,76,13.6,18.7,0.0,0.0,0.0,0,1015.0,1013.6,0,3.2,199,11.9,13380.0,1,晴
2026-04-26 09:00,2026-04-26,9,2026-04-26T09:00,20.8,68,14.6,21.7,0.0,0.0,0.0,0,1014.4,1013.0,0,3.6,207,14.0,14500.0,1,晴
2026-04-26 10:00,2026-04-26,10,2026-04-26T10:00,22.9,62,15.2,25.3,0.0,0.0,0.0,0,1014.3,1012.9,0,2.6,231,14.8,15420.0,1,晴
2026-04-26 11:00,2026-04-26,11,2026-04-26T11:00,24.5,55,14.8,27.8,0.0,0.0,0.0,0,1013.7,1012.3,16,1.7,32,13.0,15420.0,1,晴
2026-04-26 12:00,2026-04-26,12,2026-04-26T12:00,25.5,49,13.9,28.6,0.0,0.0,0.0,1,1013.1,1011.7,31,3.2,47,15.1,16220.0,1,基本晴
2026-04-26 13:00,2026-04-26,13,2026-04-26T13:00,26.0,46,13.6,28.8,0.0,0.0,0.0,3,1012.5,1011.1,98,3.2,27,15.1,16220.0,1,多云
2026-04-26 14:00,2026-04-26,14,2026-04-26T14:00,26.0,45,13.1,27.6,0.0,0.0,0.0,2,1011.9,1010.5,57,3.1,36,14.8,16220.0,1,局部多云
2026-04-26 15:00,2026-04-26,15,2026-04-26T15:00,26.4,44,13.3,27.9,0.0,0.0,0.0,0,1011.3,1009.9,2,2.8,72,13.3,16220.0,1,晴
