datetime_beijing,date,hour_beijing,timestamp_original,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,visibility,is_day,weather_description
2026-03-02 00:00,2026-03-02,0,2026-03-02T00:00,12.0,96,11.4,11.9,0.0,0.0,0.0,45,1011.2,1009.7,100,3.8,311,7.2,160.0,0,雾
2026-03-02 01:00,2026-03-02,1,2026-03-02T01:00,12.1,96,11.5,12.0,0.0,0.0,0.0,45,1011.1,1009.6,100,3.6,307,6.8,200.0,0,雾
2026-03-02 02:00,2026-03-02,2,2026-03-02T02:00,12.1,96,11.5,12.4,0.0,0.0,0.0,45,1011.3,1009.8,100,1.8,281,6.8,540.0,0,雾
2026-03-02 03:00,2026-03-02,3,2026-03-02T03:00,12.0,97,11.6,12.2,0.0,0.0,0.0,45,1011.2,1009.7,100,2.5,262,5.0,6800.0,0,雾
2026-03-02 04:00,2026-03-02,4,2026-03-02T04:00,12.0,97,11.6,12.1,0.0,0.0,0.0,45,1011.3,1009.8,100,2.9,240,5.0,19280.0,0,雾
2026-03-02 05:00,2026-03-02,5,2026-03-02T05:00,12.0,97,11.6,12.4,0.0,0.0,0.0,45,1011.7,1010.2,100,0.7,270,6.1,24140.0,0,雾
2026-03-02 06:00,2026-03-02,6,2026-03-02T06:00,12.1,97,11.6,12.4,0.0,0.0,0.0,45,1012.5,1011.0,100,1.4,270,3.2,24140.0,0,雾
2026-03-02 07:00,2026-03-02,7,2026-03-02T07:00,12.3,96,11.7,12.1,0.0,0.0,0.0,3,1013.5,1012.0,97,4.7,360,9.0,24140.0,1,多云
2026-03-02 08:00,2026-03-02,8,2026-03-02T08:00,12.7,88,10.8,11.8,0.0,0.0,0.0,3,1014.8,1013.3,100,7.9,330,14.4,24140.0,1,多云
2026-03-02 09:00,2026-03-02,9,2026-03-02T09:00,12.6,87,10.5,11.6,0.0,0.0,0.0,3,1015.7,1014.2,99,8.4,340,15.5,24140.0,1,多云
2026-03-02 10:00,2026-03-02,10,2026-03-02T10:00,12.8,87,10.7,11.5,0.0,0.0,0.0,3,1015.8,1014.3,93,11.1,347,19.8,24140.0,1,多云
2026-03-02 11:00,2026-03-02,11,2026-03-02T11:00,13.0,85,10.6,11.6,0.0,0.0,0.0,3,1016.5,1015.0,100,11.4,336,22.3,24140.0,1,多云
2026-03-02 12:00,2026-03-02,12,2026-03-02T12:00,13.0,84,10.4,10.8,0.0,0.0,0.0,3,1016.4,1014.9,100,16.1,350,29.2,24140.0,1,多云
2026-03-02 13:00,2026-03-02,13,2026-03-02T13:00,12.5,83,9.7,9.9,0.0,0.0,0.0,3,1016.4,1014.9,100,17.7,347,31.7,24140.0,1,多云
2026-03-02 14:00,2026-03-02,14,2026-03-02T14:00,12.2,83,9.4,9.7,0.0,0.0,0.0,3,1016.6,1015.1,100,16.3,346,31.7,24140.0,1,多云
2026-03-02 15:00,2026-03-02,15,2026-03-02T15:00,11.9,82,9.0,9.1,0.0,0.0,0.0,3,1017.6,1016.1,100,17.8,346,32.0,24140.0,1,多云
2026-03-02 16:00,2026-03-02,16,2026-03-02T16:00,11.2,83,8.5,7.9,0.0,0.0,0.0,3,1018.8,1017.3,100,19.9,355,35.3,24140.0,1,多云
2026-03-02 17:00,2026-03-02,17,2026-03-02T17:00,10.8,82,7.8,7.1,0.0,0.0,0.0,3,1019.8,1018.3,100,21.7,355,38.9,24140.0,1,多云
2026-03-02 18:00,2026-03-02,18,2026-03-02T18:00,10.3,82,7.4,6.6,0.0,0.0,0.0,3,1021.0,1019.5,100,21.0,348,38.9,24140.0,0,多云
2026-03-02 19:00,2026-03-02,19,2026-03-02T19:00,10.0,82,7.1,6.4,0.0,0.0,0.0,3,1022.0,1020.5,100,19.5,348,37.1,24140.0,0,多云
2026-03-02 20:00,2026-03-02,20,2026-03-02T20:00,9.9,81,6.8,6.9,0.0,0.0,0.0,3,1022.8,1021.3,100,14.8,337,34.6,24140.0,0,多云
2026-03-02 21:00,2026-03-02,21,2026-03-02T21:00,9.7,81,6.6,6.8,0.0,0.0,0.0,3,1022.5,1021.0,91,14.3,350,26.3,24140.0,0,多云
2026-03-02 22:00,2026-03-02,22,2026-03-02T22:00,9.6,81,6.5,6.9,0.0,0.0,0.0,3,1023.1,1021.6,100,12.4,343,25.2,24140.0,0,多云
2026-03-02 23:00,2026-03-02,23,2026-03-02T23:00,9.3,81,6.3,6.2,0.0,0.0,0.0,3,1022.7,1021.2,98,15.2,355,26.6,24140.0,0,多云
2026-03-03 00:00,2026-03-03,0,2026-03-03T00:00,9.1,79,5.6,5.7,0.0,0.0,0.0,3,1022.9,1021.4,98,15.7,349,30.2,24140.0,0,多云
2026-03-03 01:00,2026-03-03,1,2026-03-03T01:00,8.8,79,5.4,5.8,0.0,0.0,0.0,3,1023.1,1021.6,100,13.4,352,27.7,24140.0,0,多云
2026-03-03 02:00,2026-03-03,2,2026-03-03T02:00,8.6,78,5.0,5.4,0.0,0.0,0.0,3,1023.3,1021.8,100,14.1,357,25.2,24140.0,0,多云
2026-03-03 03:00,2026-03-03,3,2026-03-03T03:00,8.2,79,4.8,4.5,0.0,0.0,0.0,3,1023.1,1021.6,100,17.3,4,31.3,24140.0,0,多云
2026-03-03 04:00,2026-03-03,4,2026-03-03T04:00,7.9,76,3.9,4.0,0.0,0.0,0.0,3,1023.3,1021.8,100,16.9,359,31.3,24140.0,0,多云
2026-03-03 05:00,2026-03-03,5,2026-03-03T05:00,7.6,75,3.4,3.6,0.0,0.0,0.0,3,1023.8,1022.3,98,17.0,355,30.6,24140.0,0,多云
2026-03-03 06:00,2026-03-03,6,2026-03-03T06:00,7.3,75,3.2,3.1,0.0,0.0,0.0,3,1024.4,1022.9,99,18.0,359,32.0,24140.0,0,多云
2026-03-03 07:00,2026-03-03,7,2026-03-03T07:00,7.2,74,2.9,3.0,0.0,0.0,0.0,3,1025.2,1023.7,100,17.7,356,32.0,24140.0,1,多云
2026-03-03 08:00,2026-03-03,8,2026-03-03T08:00,7.2,76,3.3,3.4,0.0,0.0,0.0,3,1025.7,1024.2,100,15.5,355,31.3,24140.0,1,多云
2026-03-03 09:00,2026-03-03,9,2026-03-03T09:00,7.5,76,3.6,3.9,0.0,0.0,0.0,3,1026.1,1024.6,99,14.4,356,27.4,24140.0,1,多云
