datetime_beijing,date,hour_beijing,timestamp_original,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,visibility,is_day,weather_description
2026-04-02 00:00,2026-04-02,0,2026-04-02T00:00,13.3,86,11.0,13.1,0.0,0.0,0.0,1,1017.2,1015.7,17,3.5,246,5.4,24140.0,0,基本晴
2026-04-02 01:00,2026-04-02,1,2026-04-02T01:00,12.0,92,10.8,11.7,0.0,0.0,0.0,1,1017.3,1015.8,24,3.9,248,6.5,24140.0,0,基本晴
2026-04-02 02:00,2026-04-02,2,2026-04-02T02:00,11.5,95,10.8,11.3,0.0,0.0,0.0,3,1017.8,1016.3,36,3.6,233,6.5,24140.0,0,多云
2026-04-02 03:00,2026-04-02,3,2026-04-02T03:00,10.7,98,10.4,10.3,0.0,0.0,0.0,45,1017.9,1016.4,86,4.1,225,6.8,24140.0,0,雾
2026-04-02 04:00,2026-04-02,4,2026-04-02T04:00,10.2,99,10.1,9.7,0.0,0.0,0.0,45,1017.5,1016.0,77,4.4,215,7.2,24140.0,0,雾
2026-04-02 05:00,2026-04-02,5,2026-04-02T05:00,9.9,100,9.9,9.3,0.0,0.0,0.0,45,1017.3,1015.8,65,4.2,211,7.6,24140.0,0,雾
2026-04-02 06:00,2026-04-02,6,2026-04-02T06:00,9.9,99,9.8,9.3,0.0,0.0,0.0,45,1017.2,1015.7,72,4.1,225,7.6,24140.0,1,雾
2026-04-02 07:00,2026-04-02,7,2026-04-02T07:00,10.5,99,10.4,10.2,0.0,0.0,0.0,45,1017.8,1016.3,100,3.6,225,7.2,24140.0,1,雾
2026-04-02 08:00,2026-04-02,8,2026-04-02T08:00,14.4,93,13.3,15.3,0.0,0.0,0.0,45,1018.3,1016.8,36,1.8,217,6.1,24140.0,1,雾
2026-04-02 09:00,2026-04-02,9,2026-04-02T09:00,17.6,83,14.7,18.9,0.0,0.0,0.0,0,1018.9,1017.5,4,1.6,117,6.1,24140.0,1,晴
2026-04-02 10:00,2026-04-02,10,2026-04-02T10:00,19.9,72,14.7,21.8,0.0,0.0,0.0,0,1019.0,1017.6,5,4.7,99,11.2,24140.0,1,晴
2026-04-02 11:00,2026-04-02,11,2026-04-02T11:00,21.7,62,14.1,23.2,0.0,0.0,0.0,1,1018.0,1016.6,36,9.9,123,19.1,24140.0,1,基本晴
2026-04-02 12:00,2026-04-02,12,2026-04-02T12:00,22.8,56,13.6,24.0,0.0,0.0,0.0,2,1017.2,1015.8,68,12.7,137,24.5,24140.0,1,局部多云
2026-04-02 13:00,2026-04-02,13,2026-04-02T13:00,23.2,54,13.4,23.4,0.0,0.0,0.0,3,1015.6,1014.2,99,14.3,146,27.0,22700.0,1,多云
2026-04-02 14:00,2026-04-02,14,2026-04-02T14:00,23.4,50,12.4,22.5,0.0,0.0,0.0,3,1014.2,1012.8,100,14.3,133,27.7,24140.0,1,多云
